Points,Team,Coach,Owner,GM,City,Number of Roster Slots Filled,Roster Model,International Slots Filled
26,Austin FC,Nico Estevez,Anthony Precourt,Rodolfo Borrell,"Austin, TX",24,Designated Player,7/9
22,Colorado Rapids,Chris Armas,Kroenke Sports & Entertainment,Padraig Smith,"Commerce City, CO",25,Designated Player,4/4
21,FC Dallas,Eric Quill,The Hunt Family,Andre Zanotta,"Frisco, TX",28,U22 Intiative,8/9
20,Houston Dynamo,Ben Olsen,Ted Segal,Pat Onstad,"Houston, TX",30,U22 Intiative,10/8
8,LA Galaxy,Greg Vanney,Anschutz Entertainment Group,Will Kuntz,"Carson, CA",27,Designated Player,12/11
26,LAFC,Steve Cherundolo,Bennett Rosenthal,John Thorrington ,"Los Angeles, CA",28,Designated Player,12/11
30,Minnesota,Eric Ramsay,Dr Bill McGuire,Khaled El-Ahmad,"Saint Paul, MN",25,U22 Initiative,8/8
30,Portland Timbers,Phil Neville,Merritt Paulson,Ned Grabavoy,"Portland, OR",24,U22 Initiative,6/6
18,Real Salt Lake,Pablo Mastroeni,David Blitzer,Kurt Schmid,"Salt Lake City, UT",29,U22 Initiative,11/11
33,San Diego FC,Mikey Varas,Mohamed Mansour,Tyler Heaps,"San Diego, CA",27,U22 Initiative,9/9
23,San Jose Earthquakes,Bruce Arena,John Fisher,Bruce Arena,"San Jose, CA",29,Designated Player,6/6
26,Seattle Sounders,Brian Schmetzer,Adrian Hanauer,Craig Waibel,"Seattle, WA",27,Designated Player,4/4
16,Sporting KC,,Sporting Club,Mike Burns,"Kansas City, KS",25,U22 Intiative,5/7
15,St Louis City SC,,Carolyn Kindle,Lutz Pfannenstiel,"St. Louis, MO",28,U22 Intiative,8/8
35,Vancouver Whitecaps,Jesper Sorensen,Greg Kerfoot,Axel Schuster,"Vancouver, Canada",25,U22 Intiative,10/8